article_id,article_url,article_title,ground_truth_business,ground_truth_address,initial_business,initial_address,initial_confidence,initial_location,web_search_triggered,final_business,final_address,final_confidence,address_source,is_correct,match_reason,web_search_reasoning
10,https://jewelerssecurity.org/san-carlos-ca-18-year-old-arrested-in-56000-jewelry-store-robbery/,"San Carlos, CA- : 18-year-old arrested in $56,000 jewelry store robbery.",Home Consignment Center,"1123 Industrial Road, San Carlos, CA 94070",unknown,"000 in jewelry from the Home Consignment Center at 1123 Industrial Road, San Carlos, CA 94070",high,"San Carlos, CA",True,unknown,"000 in jewelry from the Home Consignment Center at 1123 Industrial Road, San Carlos, CA 94070",high,web_search_verification,True,All parts of truth address found in enhanced address,Address found via web search from high-quality source: https://www.mercurynews.com/2025/02/09/san-carlos-18-year-old-arrested-in-56000-jewelry-store-robbery/. The business name matches the expected name. The address is in the expected location. 
11,https://jewelerssecurity.org/pulallup-wa-burglary-at-the-south-hill-mall/,"PULALLUP, WA- BURGLARY AT THE SOUTH HILL MALL.",South Hill Mall,"3500 S Meridian, Puyallup, WA 98373",Unknown,unknown,low,"PULALLUP, WA",True,Unknown,unknown,low,,False,Enhanced address is still unknown,
12,https://jewelerssecurity.org/80k-worth-of-jewelry-stolen-from-langley-park-shop-suspect-sought-pgpd/,"$80K Worth Of Jewelry Stolen From Langley Park Shop, Suspect Sought: PGPD",Langley Park Jewelry Store,"1400 University Blvd E, Langley Park, MD 20783",unknown,"1400 University Boulevard E, Langley Park, MD 20783",high,"LANGLEY PARK, MD",True,unknown,"1400 University Boulevard E, Langley Park, MD 20783",high,web_search_verification,True,Street match: 1400 university,Address found via web search from low-quality source: https://www.loopnet.com/Listing/1400-University-Blvd-E-Hyattsville-MD/25172789/. The business name matches the expected name. The address is in the expected location. 
13,https://jewelerssecurity.org/miami-dade-county-fla-police-arrest-2-men-in-connection-to-jewelry-store-safe-theft/,Police arrest 2 men in connection to jewelry store safe burglary,,,Unknown,unknown,low,Other,True,Unknown,unknown,low,,False,,
14,https://jewelerssecurity.org/ocala-florida-man-arrested-for-armed-burglary-of-jewelry-store/,"Ocala, Florida man arrested for armed burglary of jewelry store.",,,Unknown,unknown,low,Other,True,Unknown,unknown,low,,False,,
15,https://www.reviewjournal.com/./local/east-valley/,East Valley,,,Unknown,unknown,low,Nevada,True,Unknown,unknown,low,,False,,
16,https://www.reviewjournal.com/crime/courts/las-vegas-police-sergeants-bathroom-videos-were-consensual-women-say-3349200/?utm_rs=IL_HhWFPs-NQI6kG7Pry2IrEw&utm_campaign=widget&utm_medium=most_read,"4Wife, sister-in-law say Las Vegas police sergeant’s bathroom videos were consensual",,,Unknown,unknown,low,Nevada,True,Unknown,unknown,low,,False,,
17,https://www.reviewjournal.com/./crime/,CrimeSection,,,Unknown,unknown,low,Nevada,True,Unknown,unknown,low,,False,,
18,https://www.reviewjournal.com/./local/local-columns/deborah-wall/,Deborah Wall,,,Unknown,unknown,low,Nevada,True,Unknown,unknown,low,,False,,
19,https://www.reviewjournal.com/./crime/sex-crimes/,Sex Crimes,,,Unknown,unknown,low,Nevada,True,Unknown,unknown,low,,False,,
