location,title,date,url,excerpt,source,keywords,is_theft_related,is_business_related,store_type,business_name,detailed_location
California,"San Carlos, CA- : 18-year-old arrested in $56,000 jewelry store robbery.",2025-04-11,https://jewelerssecurity.org/san-carlos-ca-18-year-old-arrested-in-56000-jewelry-store-robbery/,"San Carlos, California – An 18-year-old suspected of stealing $56,000 in jewelry from a San Carlos store in September 2024,...",Jewelers Security Alliance,"robbery,jewelry",True,True,,,
Other,"PULALLUP, WA- BURGLARY AT THE SOUTH HILL MALL.",,https://jewelerssecurity.org/pulallup-wa-burglary-at-the-south-hill-mall/,"Puyallup, WA– at the South Hill Mall, a burglary was reported. Just prior to the mall opening, 2 suspects broke...",Jewelers Security Alliance,burglary,True,True,,,
Other,"$80K Worth Of Jewelry Stolen From Langley Park Shop, Suspect Sought: PGPD",,https://jewelerssecurity.org/80k-worth-of-jewelry-stolen-from-langley-park-shop-suspect-sought-pgpd/,"LANGLEY PARK, MD – April 19, 2024 – Detectives continue to search for an armed robbery suspect who they say...",Jewelers Security Alliance,"stolen,robbery,jewelry",True,True,,,
Other,Police arrest 2 men in connection to jewelry store safe burglary,,https://jewelerssecurity.org/miami-dade-county-fla-police-arrest-2-men-in-connection-to-jewelry-store-safe-theft/,"MIAMI-DADE COUNTY, Fla. � Authorities didn�t take long to track down the assailants behind a high-priced heist at a Miami-Dade jewelry...",Jewelers Security Alliance,"burglary,jewelry",True,True,,,
Other,"Ocala, Florida man arrested for armed burglary of jewelry store.",,https://jewelerssecurity.org/ocala-florida-man-arrested-for-armed-burglary-of-jewelry-store/,"OCALA, Fla. (WCJB) – A man is behind bars after he was arrested for robbing a jewelry store located at...",Jewelers Security Alliance,"burglary,jewelry",True,True,,,
Nevada,East Valley,2025-04-10,https://www.reviewjournal.com/./local/east-valley/,Reviewjournal.com has the latest crime news & reports for Las Vegas. Read more below for crime updates from the Las Vegas Review-Journal.,Las Vegas Review Journal,crime,True,False,,,
Nevada,"4Wife, sister-in-law say Las Vegas police sergeant’s bathroom videos were consensual",,https://www.reviewjournal.com/crime/courts/las-vegas-police-sergeants-bathroom-videos-were-consensual-women-say-3349200/?utm_rs=IL_HhWFPs-NQI6kG7Pry2IrEw&utm_campaign=widget&utm_medium=most_read,"Jonathan Lewis, 17, was beaten by a group of teens outside of Rancho High School in November 2023. He died six days later.",Las Vegas Review Journal,police,True,False,,,
Nevada,CrimeSection,2025-04-10,https://www.reviewjournal.com/./crime/,Reviewjournal.com has the latest crime news & reports for Las Vegas. Read more below for crime updates from the Las Vegas Review-Journal.,Las Vegas Review Journal,crime,True,False,,,
Nevada,Deborah Wall,2025-04-10,https://www.reviewjournal.com/./local/local-columns/deborah-wall/,Reviewjournal.com has the latest crime news & reports for Las Vegas. Read more below for crime updates from the Las Vegas Review-Journal.,Las Vegas Review Journal,crime,True,False,,,
Nevada,Sex Crimes,2025-04-10,https://www.reviewjournal.com/./crime/sex-crimes/,"Alexander Smirnov, who lived in a Las Vegas condominium before his arrest, was ordered to spend six years in prison by a federal judge.",Las Vegas Review Journal,arrest,True,False,,,
